// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	-0.601909	-1.908809	9.259361	0.208938	-0.061861	-0.341991	-0.993523	0.093940	-0.045539	0.044870
16634	2	-0.597567	-1.707521	9.276222	0.225779	0.140224	-0.365447	-0.993439	0.094086	-0.046257	0.045681
16635	2	-1.080915	-1.681409	9.460496	-0.214818	0.257026	-0.149136	-0.993285	0.094795	-0.047411	0.046378
16636	2	-1.041991	-2.092612	9.473875	-0.200080	-0.134903	-0.057646	-0.993242	0.095184	-0.047184	0.046737
16637	2	-0.778500	-2.169272	9.509242	0.055933	-0.221244	-0.030796	-0.993175	0.095630	-0.047210	0.047227
16638	2	-0.993945	-2.524101	9.622806	-0.161305	-0.517030	0.170499	-0.993037	0.095826	-0.048757	0.048140
16639	2	-1.376605	-2.454836	9.788120	-0.498879	-0.384765	0.352528	-0.993054	0.094819	-0.049283	0.049244
16640	2	-1.202327	-1.658919	9.783061	-0.275482	0.346622	0.172782	-0.993270	0.093007	-0.047265	0.050309
16641	2	-0.444673	-1.476036	9.569093	0.429825	0.378380	-0.137156	-0.993393	0.092106	-0.045601	0.051068
16642	2	-0.558433	-1.561707	9.876563	0.335464	0.352924	0.190319	-0.993323	0.091844	-0.046792	0.051809
16643	2	-1.210160	-1.692856	10.138167	-0.270448	0.341065	0.527678	-0.993245	0.091690	-0.048046	0.052431
16644	2	-1.205485	-1.661057	10.090409	-0.268703	0.355053	0.474699	-0.993350	0.091016	-0.046814	0.052736
16645	2	-0.716715	-1.578363	9.920646	0.173009	0.335064	0.251198	-0.993508	0.090110	-0.045007	0.052873
16646	2	-0.673051	-1.448892	9.677902	0.178794	0.404781	-0.013798	-0.993523	0.090079	-0.044379	0.053187
16647	2	-0.810449	-1.465932	9.661632	0.032327	0.408986	-0.015515	-0.993433	0.090870	-0.044272	0.053605
16648	2	-0.785626	-1.772071	9.444370	0.000545	0.079034	-0.171769	-0.993408	0.091187	-0.043895	0.053843
16649	2	-0.646059	-1.567771	9.685533	0.179218	0.309264	0.013659	-0.993410	0.091137	-0.043881	0.053898
16650	2	-0.939636	-2.136369	9.867746	-0.139545	-0.178009	0.324778	-0.993358	0.091315	-0.044827	0.053783
16651	2	-1.492253	-2.031092	9.787648	-0.686863	-0.036009	0.270815	-0.993512	0.090138	-0.043690	0.053851
16652	2	-1.042135	-1.696420	9.250477	-0.311416	0.123241	-0.356338	-0.993762	0.089145	-0.039791	0.053911
16653	2	-0.177993	-1.712200	8.993259	0.457583	-0.053582	-0.667769	-0.993973	0.088053	-0.037136	0.053721
16654	2	-0.127043	-1.430634	9.298602	0.540259	0.256057	-0.422831	-0.994000	0.087521	-0.037411	0.053897
16655	2	-0.559854	-1.369852	9.567309	0.157343	0.413122	-0.141709	-0.993859	0.088221	-0.038874	0.054322
16656	2	-0.854911	-1.548380	9.520064	-0.136260	0.276221	-0.134615	-0.993768	0.088842	-0.039534	0.054487
16657	2	-0.882992	-1.749067	9.300022	-0.201740	0.042240	-0.310750	-0.993879	0.088039	-0.039133	0.054056
16658	2	-0.684394	-1.444372	9.274774	0.008559	0.296718	-0.405888	-0.994039	0.087118	-0.038005	0.053416
16659	2	-0.362122	-1.776554	9.082790	0.264542	-0.103545	-0.555062	-0.994057	0.087444	-0.037619	0.052813
16660	2	-0.458758	-2.137203	9.182616	0.150173	-0.432460	-0.384596	-0.994109	0.086701	-0.038746	0.052244
16661	2	-0.802560	-1.861616	9.767751	-0.085808	-0.043852	0.162745	-0.994179	0.085450	-0.040286	0.051798
16662	2	-0.959020	-1.624240	10.048651	-0.168708	0.230296	0.407474	-0.994233	0.084500	-0.041167	0.051628
16663	2	-0.953667	-1.493218	9.939150	-0.152032	0.331638	0.276553	-0.994217	0.084752	-0.041211	0.051499
16664	2	-0.798614	-1.867256	9.676574	-0.060997	-0.090160	0.074105	-0.994214	0.085130	-0.040848	0.051211
16665	2	-0.640812	-1.788311	9.658735	0.096262	-0.035754	0.030549	-0.994302	0.084492	-0.040655	0.050719
16666	2	-0.699601	-1.784859	9.883296	0.066521	0.002238	0.254598	-0.994316	0.084206	-0.041543	0.050200
16667	2	-0.883931	-1.681253	10.194301	-0.060794	0.169674	0.555495	-0.994326	0.083973	-0.042235	0.049814
16668	2	-0.868797	-1.771364	10.028067	-0.063520	0.052816	0.407285	-0.994321	0.084388	-0.042091	0.049331
16669	2	-0.869076	-1.866843	9.804351	-0.096461	-0.067884	0.204886	-0.994291	0.085066	-0.041839	0.048972
16670	2	-0.894104	-2.238725	9.574818	-0.178622	-0.455374	0.048811	-0.994249	0.085762	-0.041726	0.048702
16671	2	-0.832223	-2.181066	9.770067	-0.095264	-0.358760	0.225543	-0.994201	0.086368	-0.041576	0.048757
16672	2	-0.862834	-2.237207	9.863589	-0.121436	-0.391232	0.329903	-0.994212	0.086060	-0.041768	0.048903
16673	2	-1.050789	-1.627248	10.054135	-0.244046	0.252796	0.420309	-0.994276	0.085727	-0.040768	0.049035
16674	2	-0.705040	-1.732957	9.503636	0.007338	0.019030	-0.126679	-0.994344	0.086033	-0.038626	0.048849
