// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	StatusWord	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
16633	2	1.676138	5.822971	7.819194	-0.002411	-0.092535	0.079109	-0.944349	-0.316227	0.090555	0.002253
16634	2	1.627978	5.942100	7.815417	-0.057743	0.006383	0.139007	-0.944238	-0.316485	0.090792	0.002802
16635	2	1.475403	6.042131	7.926142	-0.232770	0.025064	0.259704	-0.944174	-0.316609	0.091004	0.003441
16636	2	1.572994	6.336463	7.786424	-0.127365	0.339875	0.342199	-0.944292	-0.316189	0.091223	0.004021
16637	2	1.576641	6.067352	7.631634	-0.083168	0.229524	0.060547	-0.944591	-0.315230	0.091423	0.004506
16638	2	1.458414	6.008151	7.687365	-0.205830	0.171433	0.048786	-0.944753	-0.314700	0.091545	0.004914
16639	2	1.531933	5.863621	7.811341	-0.148518	-0.018516	0.072833	-0.944719	-0.314724	0.091782	0.005481
16640	2	1.545605	5.961925	7.973950	-0.169240	-0.042423	0.261382	-0.944555	-0.315132	0.092034	0.006196
16641	2	1.604069	6.333032	7.947250	-0.125301	0.257032	0.471152	-0.944379	-0.315559	0.092333	0.006822
16642	2	1.579904	6.230606	7.841457	-0.127465	0.236870	0.323024	-0.944447	-0.315257	0.092626	0.007318
16643	2	1.552537	5.843782	7.963205	-0.162473	-0.139558	0.183658	-0.944461	-0.315084	0.093030	0.007792
16644	2	1.624923	5.982964	7.824915	-0.077604	0.047598	0.170160	-0.944350	-0.315273	0.093474	0.008272
16645	2	1.628723	6.198966	7.820383	-0.088019	0.217439	0.295887	-0.944212	-0.315550	0.093900	0.008644
16646	2	1.630244	6.215067	7.755447	-0.081099	0.264762	0.254836	-0.944162	-0.315575	0.094295	0.008926
16647	2	1.624731	5.976500	7.898651	-0.108517	-0.011509	0.223999	-0.944132	-0.315545	0.094673	0.009114
16648	2	1.535672	6.029074	7.802910	-0.187851	0.092168	0.164769	-0.944021	-0.315733	0.095147	0.009204
16649	2	1.685035	6.052656	7.731710	-0.038101	0.137725	0.148884	-0.943912	-0.315897	0.095672	0.009274
16650	2	1.788340	6.160205	7.645284	0.066768	0.265226	0.163376	-0.943880	-0.315893	0.096003	0.009238
16651	2	1.548622	5.860366	7.717966	-0.174557	-0.000348	-0.000519	-0.943832	-0.315969	0.096224	0.009248
16652	2	1.400373	6.003462	7.835423	-0.353269	0.049579	0.150705	-0.943614	-0.316514	0.096562	0.009376
16653	2	1.614363	6.332051	7.708862	-0.139563	0.359515	0.285770	-0.943407	-0.317040	0.096853	0.009412
16654	2	1.841139	6.003620	7.705102	0.092862	0.074115	0.126515	-0.943345	-0.317168	0.097043	0.009334
16655	2	1.778303	5.723654	7.777998	0.025839	-0.192739	0.004747	-0.943226	-0.317490	0.097165	0.009185
16656	2	1.628859	5.978952	7.837546	-0.146100	-0.018898	0.177631	-0.943109	-0.317827	0.097210	0.009001
16657	2	1.572509	6.081565	7.828262	-0.206281	0.067438	0.221893	-0.943031	-0.318044	0.097271	0.008917
16658	2	1.665517	6.141662	7.757443	-0.104893	0.149635	0.219187	-0.943082	-0.317909	0.097216	0.008863
16659	2	1.744884	6.026647	7.790041	-0.026959	0.035239	0.189705	-0.943143	-0.317761	0.097118	0.008766
16660	2	1.670449	6.013516	7.577731	-0.057645	0.160503	0.002897	-0.943213	-0.317617	0.096935	0.008546
